record_id,model_score,recommended_action,decision_rationale,risk_band,expected_cost_if_monitor,expected_cost_if_inspect,expected_decision_cost,champion_model,cost_equivalence_threshold,validation_cost_threshold,high_risk_threshold
OP_0001,0.0375,A1: Schedule inspection,"Failure probability 0.0375 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,18.75,9.625,9.625,Extra Trees,0.019608,0.07,0.33
OP_0002,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0003,7e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0034,9.9999,0.0034,Extra Trees,0.019608,0.07,0.33
OP_0004,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0005,7e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0034,9.9999,0.0034,Extra Trees,0.019608,0.07,0.33
OP_0006,0.016662,A0: Continue monitoring,Failure probability 0.0167 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,8.3308,9.8334,8.3308,Extra Trees,0.019608,0.07,0.33
OP_0007,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0008,0.554094,A2: Immediate intervention / safety escalation,Failure probability 0.5541 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,277.0471,4.4591,4.4591,Extra Trees,0.019608,0.07,0.33
OP_0009,0.000524,A0: Continue monitoring,Failure probability 0.0005 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.262,9.9948,0.262,Extra Trees,0.019608,0.07,0.33
OP_0010,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0011,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0012,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0013,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0014,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0015,0.055153,A1: Schedule inspection,"Failure probability 0.0552 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,27.5764,9.4485,9.4485,Extra Trees,0.019608,0.07,0.33
OP_0016,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0017,1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0048,9.9999,0.0048,Extra Trees,0.019608,0.07,0.33
OP_0018,0.01032,A0: Continue monitoring,Failure probability 0.0103 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,5.16,9.8968,5.16,Extra Trees,0.019608,0.07,0.33
OP_0019,0.5875,A2: Immediate intervention / safety escalation,Failure probability 0.5875 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,293.75,4.125,4.125,Extra Trees,0.019608,0.07,0.33
OP_0020,0.640625,A2: Immediate intervention / safety escalation,Failure probability 0.6406 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,320.3125,3.5938,3.5938,Extra Trees,0.019608,0.07,0.33
OP_0021,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0022,0.000129,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0643,9.9987,0.0643,Extra Trees,0.019608,0.07,0.33
